"alias","htm","name","alias2","alias3"
1,"&#8592;","Left Arrow","arrow-left",""
2,"&#8593;","Up Arrow","arrow-up",""
3,"&#8594;","Right Arrow","arrow-right",""
4,"&#8595;","Down Arrow","arrow-down",""
5,"&#8596;","Left Right Arrow","arrow-leftright",""
6,"&#8597;","UP DOWN ARROW","arrow-updown",""
7,"&#8629;","Carriage Return Arrow","",""
8,"&#8968;","Left Ceiling","",""
9,"&#8969;","Right Ceiling","",""
10,"&#8970;","Left Floor","",""
11,"&#8598;","NORTH WEST ARROW","arrow-nw",""
12,"&#8599;","NORTH EAST ARROW","arrow-ne",""
13,"&#8600;","SOUTH EAST ARROW","arrow-se",""
14,"&#8601;","SOUTH WEST ARROW","arrow-sw",""
15,"&#8602;","LEFT ARROW WITH STROKE","",""
16,"&#8603;","RIGHT ARROW WITH STROKE","",""
17,"&#8604;","LEFT WAVE ARROW","",""
18,"&#8605;","RIGHT WAVE ARROW","",""
19,"&#8606;","LEFT TWO HEADED ARROW","",""
20,"&#8607;","UP TWO HEADED ARROW","",""
21,"&#8608;","RIGHT TWO HEADED ARROW","",""
22,"&#8609;","DOWN TWO HEADED ARROW","",""
23,"&#8610;","LEFT ARROW WITH TAIL","",""
24,"&#8611;","RIGHT ARROW WITH TAIL","",""
25,"&#8612;","LEFT ARROW FROM BAR","",""
26,"&#8613;","UP ARROW FROM BAR","",""
27,"&#8614;","RIGHT ARROW FROM BAR","",""
28,"&#8615;","DOWN ARROW FROM BAR","",""
29,"&#8971;","Right Floor","",""
30,"&#160;","Inserts A Non-Breaking Blank Space","",""
31,"&#38;","Ampersand","ampersand",""
32,"&#34;","Quotation Mark","quote",""
33,"&#169;","Copyright Symbol","copyright",""
34,"&#174;","Registered Symbol","registered",""
35,"&#153;","Trademark Symbol","trademark",""
36,"&#147;","Opening Double Quotes","",""
37,"&#148;","Closing Double Quotes","",""
38,"&#145;","Opening Single Quote Mark","",""
39,"&#146;","Closing Single Quote Mark","",""
40,"&#171;","Angle Quotation Mark (Left)","quote-r",""
41,"&#187;","Angle Quotation Mark (Right)","quote-l",""
42,"&#8249;","Single Left Angle Quotation","",""
43,"&#8250;","Single Right Angle Quotation","",""
44,"&#167;","Section Symbol","section",""
45,"&#182;","Paragraph Symbol","paragraph",""
46,"&#149;","Big List Dot","bigdot",""
47,"&#183;","Medium List Dot","smalldot",""
48,"&#8230;","Horizontal Ellipsis","3dots",""
49,"&#124;","Vertical Bar","vertical",""
50,"&#166;","Broken Vertical Bar","broken",""
51,"&#150;","En-Dash","en",""
52,"&#151;","Em-Dash","em",""
53,"&#164;","Generic Currency Symbol","generic",""
54,"&#36;","Dollar Symbol","dollar",""
55,"&#162;","Cent Symbol","cent",""
56,"&#163;","Pound","pound",""
57,"&#165;","Yen","yen",""
58,"&#8364;","Euro Symbol","euro",""
59,"&#8377;","INDIAN RUPEE SIGN","rupee",""
60,"&#8381;","RUBLE SIGN","ruble",""
61,"&#20803;","YUAN CHARACTER, IN CHINA","yuan",""
62,"&#164;","CURRENCY SIGN","currency",""
63,"&#8352;","EURO-CURRENCY SIGN","euro",""
64,"&#8353;","COLON SIGN","colon",""
65,"&#8354;","CRUZEIRO SIGN","cruzeiro",""
66,"&#8355;","FRENCH FRANC SIGN","french",""
67,"&#8356;","LIRA SIGN","lira",""
68,"&#8357;","MILL SIGN","mill",""
69,"&#8358;","NAIRA SIGN","naira",""
70,"&#8359;","PESETA SIGN","peseta",""
71,"&#8360;","RUPEE SIGN","Rupee",""
72,"&#8361;","WON SIGN","won",""
73,"&#8362;","NEW SHEQEL SIGN","SHEQEL",""
74,"&#8363;","DONG SIGN","dong",""
75,"&#8365;","KIP SIGN","kip",""
76,"&#8366;","TUGRIK SIGN","tugrik",""
